Model,Accuracy,Norm_acc,Overall_corr,ECE_conf,ECE_conf-logits,ECE_logits,Dist_conf-logits,Overall_logits_mean,Overall_logits_std,Overall_confidence_mean,Overall_confidence_std,Match_corr,Match_logits_mean,Match_logits_std,Match_confidence_mean,Match_confidence_std,Mismatch_corr,Mismatch_logits_mean,Mismatch_logits_std,Mismatch_confidence_mean,Mismatch_confidence_std,Task,Num_choices,Model_name,Prompt,Model_family,Model_version,Model_type,Model_size
Meta-Llama-3-8B_base_45,0.4736842105263157,0.2982456140350877,0.3300808274557759,0.1105263157894736,0.1691857704990788,0.2110569179058075,0.2158380605773973,0.4150247558167106,0.1324272601613332,5.842105263157895,1.0145145470035764,0.4313639265894025,0.4737762610117594,0.1664645540003701,6.111111111111111,1.0540925533894598,-0.1431189396088305,0.3621484011411667,0.0623229057221277,5.6,0.966091783079296,conceptual_combinations,4,Meta-Llama-3-8B,base_45,llama,3,base,8
Meta-Llama-3-8B_base_new_56,0.5789473684210527,0.4385964912280702,-0.1105960649340268,0.1473684210526315,0.327984983670084,0.2016691941963999,0.3441816051637859,0.3772781742246527,0.1022089857219026,7.052631578947368,0.2294157338705617,-0.2045575761815927,0.4076358675956726,0.1249051004068139,7.090909090909091,0.3015113445777636,,0.3355363458395004,0.0337020850026004,7.0,0.0,conceptual_combinations,4,Meta-Llama-3-8B,base_new_56,llama,3,base,8
Llama-3.2-3B_base_45,0.1578947368421052,-0.1228070175438596,-0.0487557521850544,0.4421052631578947,0.249950706645062,0.2446920793307455,0.2799831748797202,0.3500492933549379,0.0624790833271591,6.0,1.1055415967851334,-0.955660840385244,0.4236746927102406,0.0912514237620409,5.666666666666667,1.1547005383792517,0.2831460007958024,0.3362445309758186,0.0478194932106507,6.0625,1.1236102527122116,conceptual_combinations,4,Llama-3.2-3B,base_45,llama,3.2,base,3
Llama-3.2-3B_base_new_56,0.0,-0.3333333333333333,,0.7,0.3941457767235605,0.3058542232764394,0.3949797924702888,0.3058542232764394,0.0263572885410168,7.0,0.0,,,,,,,0.3058542232764394,0.0263572885410168,7.0,0.0,conceptual_combinations,4,Llama-3.2-3B,base_new_56,llama,3.2,base,3
Qwen2.5-3B-Instruct_instruct_2,0.5555555555555556,0.4074074074074074,0.3386787055328456,0.2277777777777778,0.087947385312909,0.3786556956530743,0.3143944739559823,0.93421125120863,0.1017621821578615,7.722222222222222,2.9466941707526613,-0.364312481789484,0.9725458299605032,0.0310498862945265,9.1,0.9944289260117531,0.1780533947853567,0.8862930277687884,0.1385138991818917,6.0,3.7032803990902057,conceptual_combinations,4,Qwen2.5-3B-Instruct,instruct_2,qwen,2.5,instruct,3
Qwen2.5-7B-Instruct_instruct_2,0.8571428571428571,0.8095238095238094,0.2319319804445099,0.2142857142857142,0.1568638516240663,0.1806539797092652,0.4997626649267286,0.9453271346096288,0.1174826432506227,6.0,3.8430756913220914,0.3270298094928809,0.937288552503542,0.1257420612841873,6.416666666666667,3.7284735685686647,-1.0,0.9935586272461484,0.0088613723441538,3.5,4.949747468305833,conceptual_combinations,4,Qwen2.5-7B-Instruct,instruct_2,qwen,2.5,instruct,7
Qwen2.5-14B-Instruct_instruct_2,0.75,0.6666666666666666,0.1809475213883564,0.225,0.2749987395693137,0.2499987395690549,0.3724901572347767,0.999998739569055,4.4247621654365975e-06,7.25,2.594866727470475,0.675215985338111,0.9999998650028836,4.449824972637026e-07,7.5,2.6457513110645907,0.1280687778122848,0.9999953632675694,8.76931842925132e-06,6.5,2.6457513110645907,conceptual_combinations,4,Qwen2.5-14B-Instruct,instruct_2,qwen,2.5,instruct,14
Qwen3-4B-Instruct-2507_instruct_2,0.6666666666666666,0.5555555555555555,0.6992342757985018,0.2416666666666666,0.2248375391856646,0.333170872518998,0.2750805378055541,0.9998375391856648,0.000428623541378,7.75,1.6583123951777,-0.114919136005691,0.9999569310505536,7.201270146227951e-05,8.0,1.4142135623730951,0.9818396210839212,0.9995987554558868,0.0007399307896948,7.25,2.217355782608345,conceptual_combinations,4,Qwen3-4B-Instruct-2507,instruct_2,qwen,3,instruct,4
Mistral-7B-Instruct-v0.1_instruct_2,0.5263157894736842,0.3684210526315789,0.7043608233884759,0.4157894736842106,0.1581655238156477,0.2259687275129229,0.1913396587902215,0.6626063056078082,0.1799311848993786,7.736842105263157,2.232141604009673,0.6955336226682591,0.6729778637094841,0.2005105295706789,7.5,2.9154759474226504,0.9165190886771608,0.6510823521615019,0.1653190118630544,8.0,1.224744871391589,conceptual_combinations,4,Mistral-7B-Instruct-v0.1,instruct_2,mistral,0.1,instruct,7
Mistral-7B-Instruct-v0.2_instruct_2,0.8125,0.75,0.4763625666019589,0.175,0.0500000198338261,0.1874901789321846,0.4769491108424142,0.9999901789321848,3.9002844263090994e-05,7.625,4.272001872658765,0.0870929589446711,0.9999999225844628,1.866655268930463e-07,7.846153846153846,4.119995021157061,0.999999961583072,0.9999479564389796,9.009852692258092e-05,6.666666666666667,5.773502691896258,conceptual_combinations,4,Mistral-7B-Instruct-v0.2,instruct_2,mistral,0.2,instruct,7
